Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,1.5763,0.9265,1.02,0.0951
2,1.5759,0.9265,1.0191,0.0954
3,1.5748,0.9267,1.0167,0.0964
4,1.573,0.9271,1.0127,0.0982
5,1.5705,0.9276,1.0072,0.1008
6,1.5674,0.9282,1.0002,0.1044
7,1.5636,0.9289,0.9918,0.1092
8,1.5592,0.9299,0.9821,0.1153
9,1.5543,0.931,0.9712,0.1227
10,1.5488,0.9323,0.9589,0.1317
11,1.5428,0.9338,0.9456,0.142
12,1.5363,0.9357,0.9311,0.1539
13,1.5294,0.9378,0.9155,0.1671
14,1.5221,0.9402,0.899,0.1816
15,1.5144,0.9429,0.8814,0.1973
16,1.5064,0.946,0.8631,0.2142
17,1.4982,0.9495,0.8438,0.2321
18,1.4896,0.9534,0.8238,0.251
19,1.4808,0.9577,0.8031,0.2708
20,1.4719,0.9624,0.7816,0.2913
21,1.4627,0.9675,0.7596,0.3127
22,1.4534,0.973,0.737,0.3346
23,1.444,0.9789,0.7139,0.3572
24,1.4345,0.9853,0.6903,0.3803
25,1.4249,0.992,0.6663,0.4038
26,1.4153,0.9991,0.642,0.4277
27,1.4056,1.0065,0.6173,0.4519
28,1.3959,1.0142,0.5924,0.4764
29,1.3861,1.0223,0.5672,0.5011
30,1.3763,1.0305,0.5419,0.5259
31,1.3665,1.0389,0.5164,0.5507
32,1.3566,1.0475,0.4909,0.5757
33,1.3467,1.0562,0.4653,0.6005
34,1.3367,1.065,0.4397,0.6253
35,1.3267,1.0737,0.4141,0.6499
36,1.3165,1.0824,0.3886,0.6744
37,1.3063,1.0909,0.3632,0.6985
38,1.2959,1.0993,0.3379,0.7224
39,1.2853,1.1074,0.3128,0.746
40,1.2745,1.1152,0.2879,0.7691
41,1.2634,1.1226,0.2633,0.7918
42,1.2521,1.1296,0.2389,0.8141
43,1.2404,1.1361,0.215,0.8358
44,1.2283,1.142,0.1914,0.8569
45,1.2158,1.1472,0.1684,0.8774
46,1.2028,1.1518,0.1461,0.8973
47,1.1892,1.1556,0.1248,0.9166
48,1.1751,1.1586,0.1052,0.9351
49,1.1602,1.1607,0.088,0.9529
50,1.1447,1.1618,0.0752,0.9699
51,1.1281,1.1616,0.0692,0.986
52,1.1104,1.16,0.0721,1.001
53,1.0916,1.1569,0.0831,1.0151
54,1.0716,1.1525,0.0997,1.0283
55,1.0505,1.1468,0.1197,1.0408
56,1.0285,1.14,0.1418,1.0526
57,1.0054,1.1322,0.1655,1.0638
58,0.9814,1.1234,0.1903,1.0745
59,0.9565,1.1137,0.216,1.0848
60,0.9307,1.1032,0.2424,1.0948
61,0.9042,1.0921,0.2695,1.1046
62,0.877,1.0803,0.2971,1.1143
63,0.8491,1.0681,0.3252,1.1238
64,0.8206,1.0555,0.3538,1.1333
65,0.7916,1.0427,0.3827,1.1429
66,0.7621,1.0296,0.412,1.1525
67,0.7323,1.0164,0.4416,1.1622
68,0.7021,1.0033,0.4715,1.1721
69,0.6716,0.9902,0.5015,1.1822
70,0.641,0.9773,0.5316,1.1925
71,0.6103,0.9647,0.5618,1.2031
72,0.5795,0.9525,0.592,1.2138
73,0.5488,0.9406,0.6221,1.2248
74,0.5182,0.9293,0.6522,1.236
75,0.4878,0.9185,0.682,1.2474
76,0.4577,0.9083,0.7115,1.259
77,0.428,0.8988,0.7407,1.2708
78,0.3987,0.89,0.7696,1.2827
79,0.37,0.8819,0.7979,1.2947
80,0.3418,0.8745,0.8257,1.3067
81,0.3144,0.8679,0.8529,1.3187
82,0.2878,0.8621,0.8794,1.3306
83,0.2621,0.857,0.9051,1.3425
84,0.2375,0.8526,0.93,1.3542
85,0.214,0.8489,0.954,1.3656
86,0.1917,0.8458,0.977,1.3767
87,0.1709,0.8434,0.9989,1.3875
88,0.1517,0.8414,1.0197,1.3979
89,0.1342,0.84,1.0392,1.4078
90,0.1188,0.8389,1.0575,1.4171
91,0.1054,0.8383,1.0744,1.4258
92,0.0945,0.8379,1.0898,1.4339
93,0.086,0.8377,1.1037,1.4411
94,0.08,0.8377,1.116,1.4476
95,0.0761,0.8378,1.1266,1.4533
96,0.074,0.8379,1.1355,1.458
97,0.0731,0.8381,1.1425,1.4617
98,0.073,0.8382,1.1476,1.4644
99,0.0731,0.8383,1.1507,1.4661
100,0.0731,0.8383,1.1518,1.4666
101,0.0747,0.8364,1.1505,1.4646
102,0.0796,0.8308,1.1468,1.4585
103,0.0878,0.8217,1.1407,1.4487
104,0.0996,0.8093,1.1324,1.4353
105,0.1148,0.7937,1.1222,1.4185
106,0.1336,0.7753,1.1102,1.3984
107,0.1556,0.7542,1.0966,1.3753
108,0.1807,0.7307,1.0817,1.3493
109,0.2088,0.705,1.0657,1.3206
110,0.2395,0.6774,1.0489,1.2894
111,0.2726,0.6481,1.0315,1.256
112,0.308,0.6176,1.0138,1.2204
113,0.3454,0.5861,0.9962,1.1828
114,0.3847,0.554,0.9789,1.1435
115,0.4256,0.5218,0.9622,1.1027
116,0.4679,0.4901,0.9463,1.0605
117,0.5115,0.4594,0.9316,1.0171
118,0.5561,0.4304,0.9184,0.9726
119,0.6016,0.4041,0.9068,0.9274
120,0.6478,0.3813,0.8971,0.8815
121,0.6945,0.363,0.8894,0.8352
122,0.7414,0.3503,0.8839,0.7886
123,0.7885,0.3438,0.8807,0.7419
124,0.8355,0.3441,0.8797,0.6954
125,0.8822,0.351,0.8809,0.6491
126,0.9285,0.364,0.8842,0.6033
127,0.9742,0.3822,0.8895,0.5582
128,1.019,0.4048,0.8966,0.5139
129,1.0629,0.4306,0.9053,0.4707
130,1.1055,0.4588,0.9152,0.4287
131,1.1468,0.4885,0.9262,0.388
132,1.1866,0.519,0.9378,0.349
133,1.2246,0.5497,0.9498,0.3117
134,1.2606,0.5801,0.9619,0.2763
135,1.2946,0.6098,0.9737,0.2429
136,1.3263,0.6385,0.9849,0.2118
137,1.3555,0.6658,0.9952,0.1831
138,1.3821,0.6914,1.0043,0.1569
139,1.4059,0.7151,1.012,0.1333
140,1.4267,0.7366,1.0178,0.1123
141,1.4443,0.7559,1.0217,0.0941
142,1.4585,0.7727,1.0232,0.0788
143,1.4692,0.7868,1.0222,0.0665
144,1.4762,0.7982,1.0184,0.0577
145,1.4794,0.8068,1.0116,0.0533
146,1.4805,0.814,1.003,0.0529
147,1.4815,0.8214,0.9939,0.0554
148,1.4824,0.8291,0.9844,0.0608
149,1.4832,0.8369,0.9745,0.0686
150,1.4839,0.845,0.9642,0.0784
151,1.4845,0.8532,0.9535,0.0897
152,1.485,0.8616,0.9424,0.1021
153,1.4854,0.8701,0.931,0.1155
154,1.4856,0.8788,0.9192,0.1295
155,1.4857,0.8876,0.9071,0.1442
156,1.4857,0.8965,0.8946,0.1594
157,1.4856,0.9055,0.8819,0.1751
158,1.4853,0.9146,0.8688,0.1911
159,1.4848,0.9238,0.8554,0.2075
160,1.4841,0.933,0.8418,0.2242
161,1.4833,0.9423,0.8279,0.2412
162,1.4823,0.9516,0.8137,0.2584
163,1.4811,0.9609,0.7992,0.2758
164,1.4797,0.9702,0.7845,0.2935
165,1.4781,0.9795,0.7695,0.3113
166,1.4762,0.9887,0.7543,0.3293
167,1.4741,0.9979,0.7388,0.3474
168,1.4717,1.007,0.723,0.3657
169,1.4691,1.0159,0.707,0.384
170,1.4661,1.0248,0.6908,0.4025
171,1.4628,1.0336,0.6742,0.421
172,1.4592,1.0422,0.6574,0.4396
173,1.4553,1.0506,0.6404,0.4583
174,1.451,1.0588,0.623,0.477
175,1.4463,1.0669,0.6054,0.4958
176,1.4412,1.0748,0.5875,0.5147
177,1.4357,1.0824,0.5693,0.5335
178,1.4298,1.0898,0.5507,0.5524
179,1.4234,1.0969,0.5319,0.5713
180,1.4165,1.1037,0.5127,0.5903
181,1.4091,1.1103,0.4931,0.6093
182,1.4012,1.1166,0.4732,0.6283
183,1.3927,1.1226,0.4529,0.6474
184,1.3837,1.1283,0.4322,0.6665
185,1.3741,1.1336,0.411,0.6857
186,1.3639,1.1387,0.3895,0.7049
187,1.353,1.1434,0.3674,0.7242
188,1.3415,1.1478,0.345,0.7436
189,1.3294,1.1519,0.322,0.7631
190,1.3165,1.1556,0.2985,0.7827
191,1.303,1.1591,0.2745,0.8025
192,1.2887,1.1622,0.2501,0.8224
193,1.2736,1.165,0.2251,0.8425
194,1.2578,1.1675,0.1997,0.8628
195,1.2412,1.1698,0.1739,0.8833
196,1.2239,1.1718,0.1478,0.9041
197,1.2057,1.1736,0.1219,0.9253
198,1.1867,1.1751,0.0966,0.9467
199,1.1668,1.1765,0.0739,0.9685
200,1.1461,1.1778,0.058,0.9907
201,1.1226,1.1762,0.0587,1.0116
202,1.0945,1.1696,0.0785,1.0297
203,1.0621,1.1585,0.1092,1.0455
204,1.0256,1.1433,0.1457,1.0596
205,0.9853,1.1247,0.1862,1.0726
206,0.9417,1.1032,0.2299,1.0849
207,0.895,1.0794,0.2763,1.0971
208,0.8458,1.0538,0.3252,1.1095
209,0.7942,1.0271,0.376,1.1226
210,0.7408,0.9999,0.4287,1.1367
211,0.686,0.9727,0.4827,1.152
212,0.6301,0.9462,0.5378,1.1687
213,0.5737,0.9209,0.5935,1.1869
214,0.5172,0.8973,0.6495,1.2065
215,0.4611,0.8759,0.7054,1.2275
216,0.4058,0.857,0.7607,1.2498
217,0.352,0.8411,0.8152,1.273
218,0.3003,0.8281,0.8682,1.2969
219,0.2513,0.8182,0.9195,1.3212
220,0.2062,0.8112,0.9686,1.3455
221,0.1664,0.807,1.015,1.3694
222,0.1338,0.8051,1.0584,1.3925
223,0.1114,0.8053,1.0983,1.4143
224,0.1017,0.8069,1.1343,1.4345
225,0.1038,0.8094,1.166,1.4526
226,0.1131,0.8124,1.1928,1.4683
227,0.1247,0.8154,1.2144,1.481
228,0.135,0.8178,1.2304,1.4905
229,0.1419,0.8195,1.2403,1.4964
230,0.1444,0.8201,1.2437,1.4984
231,0.1444,0.8201,1.2437,1.4984
232,0.1444,0.8201,1.2437,1.4984
233,0.1444,0.8201,1.2437,1.4984
234,0.1444,0.8201,1.2437,1.4984
235,0.1444,0.8201,1.2437,1.4984
236,0.1444,0.8201,1.2437,1.4984
237,0.1444,0.8201,1.2437,1.4984
238,0.1444,0.8201,1.2437,1.4984
239,0.1444,0.8201,1.2437,1.4984
240,0.1444,0.8201,1.2437,1.4984
