Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,78.8888,48.9481,126.4464,36.3617
2,79.8136,49.8648,127.3733,36.9617
3,82.5001,52.5277,130.0666,38.7307
4,86.817,56.806,134.3945,41.6528
5,92.6327,62.5689,140.2246,45.7212
6,99.8157,69.6857,147.4235,50.9103
7,108.2344,78.025,155.8541,57.1671
8,117.7571,87.4559,165.3625,64.4147
9,128.2519,97.8468,175.5673,72.5595
10,139.5863,109.066,-172.31,81.4975
11,151.6263,120.9815,-160.3672,91.118
12,164.2302,133.4604,-147.7192,101.3031
13,177.0634,146.3668,-134.5971,111.9258
14,-169.1805,159.5529,-121.1468,122.8427
15,-155.6508,172.7476,-107.5043,133.8784
16,-142.0393,-173.1477,-93.8031,144.7811
17,-128.5013,-160.0167,-80.176,155.0739
18,-115.1726,-146.9256,-66.7559,163.4604
19,-102.186,-134.1598,-53.6756,-166.2474
20,-89.6738,-121.868,-41.0693,-161.3269
21,-77.7679,-110.1862,-29.0744,-153.1294
22,-66.6003,-99.2473,-17.8406,-144.3751
23,-56.3028,-89.1836,-7.6081,-135.9375
24,-47.0072,-80.1265,3.0771,-128.1921
25,-38.8453,-72.2073,10.6748,-121.3716
26,-31.9493,-65.5576,17.6225,-115.6579
27,-26.4503,-60.3081,23.2377,-111.211
28,-22.4798,-56.59,27.3481,-108.1813
29,-20.1675,-54.5341,29.8131,-106.7135
30,-19.6435,-54.2714,30.4983,-106.9495
31,-20.0876,-54.981,30.2217,-108.086
32,-20.5935,-55.7551,29.8889,-109.2291
33,-21.1617,-56.5936,29.4997,-110.383
34,-21.7928,-57.4969,29.0535,-111.552
35,-22.4874,-58.4652,28.55,-112.7399
36,-23.246,-59.4987,27.989,-113.9506
37,-24.0693,-60.5977,27.3701,-115.1876
38,-24.9576,-61.7624,26.6933,-116.4542
39,-25.9118,-62.9932,25.9583,-117.7538
40,-26.9323,-64.2904,25.1651,-119.0895
41,-28.0198,-65.6545,24.3138,-120.464
42,-29.1747,-67.0856,23.4046,-121.8802
43,-30.3978,-68.5843,22.4377,-123.3407
44,-31.6896,-70.1511,21.4137,-124.848
45,-33.0507,-71.7863,20.3333,-126.4045
46,-34.4818,-73.4904,19.1975,-128.0124
47,-35.9835,-75.2642,18.0078,-129.6739
48,-37.5562,-77.1079,16.7662,-131.3909
49,-39.2009,-79.0224,15.4753,-133.1658
50,-40.9179,-81.0081,14.1394,-135
51,-42.7081,-83.0657,12.764,-136.8955
52,-44.5719,-85.1959,11.358,-138.854
53,-46.5102,-87.3994,9.9352,-140.8772
54,-48.5235,-89.6769,8.5191,-142.9667
55,-50.6126,-92.0292,7.1513,-145.1238
56,-52.7781,-94.4571,5.9115,-147.35
57,-55.0207,-96.9614,4.9504,-149.6465
58,-57.3412,-99.543,4.5072,-152.0145
59,-59.7403,-102.2026,-4.7776,-154.4548
60,-62.2188,-104.9415,-5.6955,-156.9683
61,-64.7774,-107.7602,-7.0337,-159.5547
62,-67.4168,-110.6598,-8.6111,-162.2136
63,-70.1379,-113.6415,-10.3228,-164.9424
64,-72.9414,-116.7061,-12.1085,-167.7348
65,-75.8284,-119.8547,-13.9288,-170.5751
66,-78.7994,-123.0884,-15.7531,-173.4159
67,-81.8556,-126.4082,-17.5531,-176.0614
68,-84.9976,-129.8153,-19.2993,177.3736
69,-88.2265,-133.3108,-20.9586,175.6222
70,-91.5433,-136.8957,-22.4913,172.648
71,-94.949,-140.5713,-23.8491,169.3523
72,-98.4443,-144.3384,-24.9723,165.8924
73,-102.0307,-148.1982,-25.7876,162.3086
74,-105.709,-152.1513,-26.2062,158.6151
75,-109.4804,-156.1982,-26.1264,154.8177
76,-113.3461,-160.3385,-25.4451,150.9185
77,-117.3072,-164.5698,-24.092,146.9187
78,-121.3651,-168.8832,-22.1112,142.8181
79,-125.521,-173.2428,-19.8132,138.6167
80,-129.7761,-177.3451,-17.9487,134.314
81,-134.1087,176.7437,17.444,129.8836
82,-138.4931,172.3022,18.5194,125.3079
83,-142.9247,167.5155,20.2733,120.5984
84,-147.3987,162.588,21.6651,115.7664
85,-151.9094,157.5541,22.1899,110.8229
86,-156.4505,152.4271,21.7656,105.7787
87,-161.0134,147.2153,20.499,100.6446
88,-165.5848,141.9255,18.5524,95.4312
89,-170.1354,136.5637,16.0916,90.1491
90,-174.5539,131.1358,13.2807,84.8088
91,-177.6993,125.648,10.3159,79.4209
92,175.0537,120.1063,7.5428,73.9958
93,170.6597,114.5169,5.8149,68.544
94,166.0899,108.8865,-6.4517,63.0759
95,161.4828,103.2221,-9.1382,57.6019
96,156.872,97.5307,-12.7117,52.1323
97,152.2722,91.8201,-16.6472,46.6774
98,147.6929,86.0982,-20.7528,41.2474
99,143.1412,80.3737,-24.9438,35.8527
100,138.6236,74.6555,-29.1737,30.5035
101,134.1457,68.953,-33.413,25.2103
102,129.7132,63.2762,-37.64,19.9845
103,125.331,57.6357,-41.8382,14.8398
104,121.0044,52.0424,-45.9935,9.7983
105,116.7381,46.5079,-50.094,4.9332
106,112.5365,41.0441,-54.1288,-1.5774
107,108.4041,35.6639,-58.0881,-5.2402
108,104.3448,30.3803,-61.9629,-9.7971
109,100.3623,25.2077,-65.7445,-14.3025
110,96.4599,20.162,-69.4247,-18.6947
111,92.6403,15.2629,-72.9957,-22.954
112,88.9062,10.5424,-76.4497,-27.0687
113,85.2593,6.0861,-79.7793,-31.0293
114,81.7011,2.5095,-82.9772,-34.8271
115,78.2327,-3.7785,-86.0362,-38.4544
116,74.8549,-7.4902,-88.949,-41.9031
117,71.569,-11.2573,-91.7088,-45.1657
118,68.3772,-14.8651,-94.3085,-48.2346
119,65.2843,-18.265,-96.7409,-51.1024
120,62.2997,-21.4338,-98.9993,-53.7615
121,59.4406,-24.3558,-101.0765,-56.2045
122,56.736,-27.0175,-102.9656,-58.4237
123,54.2305,-29.4072,-104.6595,-60.4118
124,51.9859,-31.5134,-106.1513,-62.1609
125,50.0751,-33.325,-107.4336,-63.6632
126,48.5641,-34.8314,-108.4994,-64.911
127,47.4851,-36.0218,-109.3414,-65.8961
128,46.8132,-36.8854,-109.9522,-66.6103
129,46.4711,-37.4116,-110.3243,-67.0452
130,46.3706,-37.5895,-110.45,-67.1922
131,47.8116,-35.5584,-108.4628,-65.1847
132,52.2944,-29.7432,-102.775,-59.437
133,60.1821,-20.5708,-93.7969,-50.3615
134,71.5514,-8.5627,-81.9393,-38.3712
135,86.038,6.81,-67.6135,-23.8836
136,103.005,23.421,-51.232,-7.3727
137,121.685,41.9717,-33.2121,11.1122
138,141.0682,61.8629,-14.0089,30.612
139,158.6044,82.6624,6.4996,51.0128
140,-161.9428,103.9509,26.8087,71.8698
141,-146.2549,125.3101,47.3069,92.7671
142,-126.7232,146.3158,67.4176,113.2921
143,-107.2091,166.4866,86.7181,133.0318
144,-88.7257,-173.8012,104.7941,151.5702
145,-71.8509,-156.5743,121.2332,168.4651
146,-57.0539,-141.0784,135.6226,-176.2323
147,-44.765,-127.9669,147.5489,-163.9445
148,-35.3899,-117.6728,156.5986,-154.3004
149,-29.3072,-110.6159,162.3637,-147.8891
150,-26.8756,-107.2127,164.4561,-145.1316
151,-26.588,-105.9313,164.4217,-144.4932
152,-26.678,-104.9585,164.0644,-144.1563
153,-27.1308,-104.2892,163.3957,-144.1109
154,-27.9323,-103.9183,162.4268,-144.3471
155,-29.0686,-103.841,161.1685,-144.8554
156,-30.5258,-104.0521,159.6321,-145.6263
157,-32.2902,-104.5465,157.8287,-146.6502
158,-34.3482,-105.3189,155.7696,-147.9181
159,-36.6864,-106.3637,153.4667,-149.421
160,-39.2914,-107.6749,150.9319,-151.15
161,-42.1502,-109.2464,148.1772,-153.0965
162,-45.25,-111.0716,145.2151,-155.2519
163,-48.5783,-113.1434,142.0584,-157.6078
164,-52.1227,-115.4546,138.7198,-160.1555
165,-55.871,-117.9971,135.2126,-162.8861
166,-59.8112,-120.7628,131.5501,-165.7896
167,-63.9315,-123.7431,127.7465,-168.853
168,-68.2202,-126.9289,123.8157,-172.0539
169,-72.6655,-130.3108,119.7725,-175.323
170,-77.2561,-133.8791,115.6318,-178.0774
171,-81.9804,-137.6238,111.4093,176.5668
172,-86.827,-141.5345,107.121,172.9817
173,-91.7845,-145.6005,102.7838,169.0859
174,-96.8417,-149.8108,98.415,165.0241
175,-101.9873,-154.1539,94.0323,160.8294
176,-107.2099,-158.6173,89.6545,156.5172
177,-112.4983,-163.1871,85.3002,152.0979
178,-117.8412,-167.8438,80.9884,147.5801
179,-123.2273,-172.5465,76.7375,142.9719
180,-128.6454,-177.0523,72.5648,138.281
181,-134.084,176.9237,68.485,133.515
182,-139.5316,172.2694,64.5087,128.6816
183,-144.9765,167.3092,60.64,123.7883
184,-150.4067,162.2688,56.8733,118.8426
185,-155.8094,157.1876,53.1912,113.8522
186,-161.1701,152.0842,49.5625,108.8248
187,-166.4693,146.9722,45.9436,103.7678
188,-171.6673,141.8634,42.2859,98.6889
189,-176.5541,136.7688,38.5545,93.5956
190,177.1376,131.6984,34.7622,88.4954
191,172.5965,126.6704,30.2744,83.3432
192,167.9412,121.6992,25.6244,78.0951
193,163.4586,116.7896,-24.0618,72.7584
194,159.1844,111.9456,-28.2724,67.3384
195,155.1308,107.1705,-36.5413,61.8381
196,151.3056,102.4673,-45.9777,56.2592
197,147.716,97.8385,-55.0965,50.602
198,144.3696,93.2862,-63.4201,44.866
199,141.2744,88.812,-70.9033,39.0502
200,138.439,84.4172,-77.644,33.1542
201,135.8721,80.1024,-83.7659,27.1788
202,133.5822,75.8679,-89.3797,21.1287
203,131.5774,71.7135,-94.5736,15.0195
204,129.8643,67.638,-99.4155,8.9093
205,128.4478,63.6396,-103.9558,3.2959
206,127.33,59.7155,-108.2325,-4.7677
207,126.5091,55.8618,-112.2735,-10.8155
208,125.9788,52.0729,-116.0999,-17.1615
209,125.7274,48.3417,-119.7271,-23.5545
210,125.7371,44.6587,-123.1668,-29.9253
211,125.984,41.0121,-126.4275,-36.2243
212,126.4386,37.3865,-129.5153,-42.4059
213,127.0667,33.763,-132.435,-48.4255
214,127.831,30.1191,-135.1896,-54.2409
215,128.693,26.4302,-137.7813,-59.8134
216,129.6154,22.6763,-140.2112,-65.1091
217,130.5635,18.8632,-142.4802,-70.1
218,131.5071,15.0939,-144.5883,-74.7637
219,132.4213,11.8107,-146.5352,-79.0833
220,133.2867,10.405,-148.3203,-83.0474
221,134.0892,-12.839,-149.9427,-86.648
222,134.8196,-18.9394,-151.4013,-89.8806
223,135.4721,-27.5303,-152.6948,-92.7425
224,136.0439,-37.7924,-153.8217,-95.2324
225,136.5337,-48.7877,-154.7803,-97.3492
226,136.9408,-59.3006,-155.5691,-99.0915
227,137.2643,-68.1942,-156.186,-100.4569
228,137.502,-74.7721,-156.6293,-101.4413
229,137.6499,-78.7692,-156.8968,-102.0388
230,137.7012,-80.1149,-156.9865,-102.2403
231,138.6568,-79.2212,-156.0314,-101.2836
232,141.367,-76.6885,-153.3213,-98.5695
233,145.5966,-72.7429,-149.0883,-94.3323
234,151.1085,-67.618,-143.5656,-88.8063
235,157.6617,-61.5582,-136.987,-82.226
236,165.0004,-54.8244,-129.5869,-74.8257
237,172.7704,-47.7028,-121.5997,-66.8401
238,-177.1431,-40.5218,-113.2603,-58.5039
239,-169.727,-33.6823,-104.8031,-50.0521
240,-161.5153,-27.7039,-96.4629,-41.72
241,-153.5736,-23.2499,-88.4742,-33.7432
242,-146.1944,-20.9573,-81.0714,-26.3587
243,-139.6256,20.9087,-74.4891,-19.8045
244,-134.1062,22.35,-68.9616,-14.3214
245,-129.8728,24.2265,-64.7234,-10.1504
246,-127.1607,25.7091,-62.0087,-7.5188
247,-126.2046,26.2758,-61.0517,-6.6073
248,-126.2046,26.2758,-61.0517,-6.6073
249,-126.2046,26.2758,-61.0517,-6.6073
250,-126.2046,26.2758,-61.0517,-6.6073
