Frame,Pillar1,Pillar2,Pillar3
1,1.2376,0.1244,1.1948
2,1.2371,0.125,1.1933
3,1.2359,0.1267,1.1888
4,1.2339,0.1298,1.1815
5,1.2313,0.1346,1.1716
6,1.228,0.1414,1.159
7,1.2243,0.1505,1.1441
8,1.2202,0.1621,1.1268
9,1.2159,0.1763,1.1073
10,1.2115,0.193,1.0858
11,1.2071,0.2123,1.0623
12,1.2028,0.2339,1.037
13,1.1989,0.2577,1.01
14,1.1953,0.2835,0.9815
15,1.1924,0.3112,0.9515
16,1.19,0.3404,0.9202
17,1.1885,0.3712,0.8877
18,1.1878,0.4032,0.8542
19,1.1882,0.4364,0.8197
20,1.1895,0.4706,0.7845
21,1.192,0.5056,0.7485
22,1.1956,0.5413,0.712
23,1.2004,0.5775,0.675
24,1.2063,0.6141,0.6378
25,1.2134,0.651,0.6004
26,1.2217,0.6881,0.5629
27,1.231,0.7251,0.5255
28,1.2413,0.762,0.4883
29,1.2526,0.7986,0.4515
30,1.2647,0.8348,0.4151
31,1.2775,0.8705,0.3794
32,1.2909,0.9055,0.3444
33,1.3048,0.9398,0.3102
34,1.3191,0.9731,0.2771
35,1.3335,1.0054,0.2451
36,1.3481,1.0366,0.2145
37,1.3625,1.0664,0.1853
38,1.3767,1.0948,0.1579
39,1.3906,1.1217,0.1324
40,1.4039,1.1468,0.1092
41,1.4166,1.1702,0.0887
42,1.4284,1.1917,0.0715
43,1.4394,1.2111,0.0585
44,1.4492,1.2283,0.0505
45,1.4578,1.2432,0.0478
46,1.4651,1.2557,0.0491
47,1.471,1.2656,0.0522
48,1.4753,1.2729,0.0555
49,1.4779,1.2773,0.0578
50,1.4788,1.2788,0.0586
51,1.4796,1.2734,0.0593
52,1.4815,1.2586,0.0661
53,1.4844,1.2368,0.0851
54,1.4881,1.2103,0.1156
55,1.4919,1.1812,0.1526
56,1.4952,1.1514,0.1913
57,1.4967,1.1226,0.2275
58,1.495,1.0963,0.2577
59,1.4884,1.0735,0.2782
60,1.4751,1.0556,0.286
61,1.456,1.0396,0.2864
62,1.4334,1.0217,0.2875
63,1.4074,1.0021,0.2902
64,1.3782,0.9812,0.2952
65,1.3461,0.9592,0.3034
66,1.3113,0.9366,0.3152
67,1.274,0.9135,0.3312
68,1.2343,0.8905,0.3514
69,1.1925,0.868,0.3758
70,1.1489,0.8463,0.4042
71,1.1036,0.8259,0.4362
72,1.0568,0.8074,0.4714
73,1.0088,0.791,0.5094
74,0.9598,0.7772,0.5498
75,0.91,0.7664,0.5921
76,0.8595,0.7589,0.636
77,0.8087,0.7549,0.6812
78,0.7577,0.7545,0.7273
79,0.7068,0.7577,0.7741
80,0.6562,0.7645,0.8211
81,0.606,0.7746,0.8681
82,0.5566,0.7878,0.9149
83,0.5082,0.8037,0.9612
84,0.4609,0.8219,1.0068
85,0.4152,0.8419,1.0513
86,0.3711,0.8634,1.0946
87,0.329,0.8858,1.1364
88,0.2892,0.9088,1.1765
89,0.252,0.9318,1.2146
90,0.2178,0.9545,1.2506
91,0.187,0.9765,1.2842
92,0.1601,0.9974,1.3151
93,0.1376,1.0169,1.3432
94,0.12,1.0347,1.3683
95,0.1074,1.0504,1.3901
96,0.0997,1.0638,1.4084
97,0.0957,1.0746,1.423
98,0.0944,1.0826,1.4337
99,0.0943,1.0875,1.4403
100,0.0946,1.0892,1.4425
101,0.0958,1.0881,1.4422
102,0.099,1.0846,1.4413
103,0.104,1.079,1.4397
104,0.111,1.0712,1.4375
105,0.1199,1.0614,1.4348
106,0.1307,1.0496,1.4316
107,0.1435,1.0361,1.428
108,0.1582,1.0207,1.424
109,0.1747,1.0038,1.4196
110,0.193,0.9852,1.415
111,0.213,0.9652,1.4103
112,0.2345,0.9438,1.4054
113,0.2574,0.9211,1.4004
114,0.2817,0.8973,1.3955
115,0.3073,0.8724,1.3906
116,0.334,0.8464,1.3859
117,0.3617,0.8196,1.3814
118,0.3903,0.792,1.3771
119,0.4198,0.7636,1.3731
120,0.45,0.7347,1.3694
121,0.4808,0.7052,1.3661
122,0.5121,0.6754,1.3632
123,0.5439,0.6452,1.3607
124,0.5761,0.6147,1.3585
125,0.6084,0.5842,1.3568
126,0.641,0.5536,1.3555
127,0.6735,0.5231,1.3545
128,0.7061,0.4927,1.3539
129,0.7385,0.4626,1.3536
130,0.7707,0.4329,1.3536
131,0.8026,0.4036,1.3537
132,0.834,0.3749,1.3541
133,0.865,0.3468,1.3545
134,0.8954,0.3195,1.3549
135,0.9252,0.2931,1.3553
136,0.9542,0.2677,1.3554
137,0.9824,0.2433,1.3554
138,1.0096,0.2203,1.3549
139,1.0359,0.1986,1.354
140,1.0611,0.1785,1.3526
141,1.0851,0.1601,1.3505
142,1.1079,0.1438,1.3476
143,1.1294,0.1297,1.3438
144,1.1495,0.1181,1.339
145,1.1682,0.1092,1.333
146,1.1854,0.1034,1.3259
147,1.201,0.1006,1.3174
148,1.215,0.1008,1.3074
149,1.2274,0.1036,1.2958
150,1.238,0.1087,1.2825
151,1.2472,0.1162,1.2677
152,1.2555,0.126,1.2516
153,1.2629,0.1379,1.2344
154,1.2694,0.1516,1.2161
155,1.2752,0.167,1.1967
156,1.2803,0.1838,1.1763
157,1.2849,0.2018,1.1548
158,1.2889,0.2211,1.1325
159,1.2924,0.2413,1.1092
160,1.2956,0.2626,1.0852
161,1.2985,0.2847,1.0603
162,1.3012,0.3077,1.0348
163,1.3037,0.3314,1.0085
164,1.306,0.3558,0.9817
165,1.3083,0.3809,0.9543
