Frame,Pillar1,Pillar2,Pillar3
1,-94.2767,-158.1428,22.8632
2,-94.4207,-158.2708,23.0166
3,-94.8447,-158.6443,23.4487
4,-95.5375,-159.2454,24.1291
5,-96.4876,-160.055,25.0392
6,-97.6835,-161.0539,26.1688
7,-99.1131,-162.2236,27.5125
8,-100.7637,-163.5475,29.0673
9,-102.6217,-165.0107,30.8285
10,-104.6729,-166.6006,32.7848
11,-106.9025,-168.3061,34.9135
12,-109.2954,-170.1171,37.1735
13,-111.8363,-172.0209,39.4995
14,-114.5101,-173.9964,41.7964
15,-117.3021,-175.9829,43.9376
16,-120.1985,-177.6972,45.7659
17,-123.1864,177.7774,47.0983
18,-126.254,175.9396,47.7303
19,-129.3909,173.5655,47.438
20,-132.5881,170.9922,45.9766
21,-135.8926,168.2524,43.5686
22,-139.3515,165.3328,40.7025
23,-142.9567,162.2477,37.658
24,-146.6997,159.0084,35.0799
25,-150.5719,155.6246,34.2622
26,-154.5642,152.1056,-37.0225
27,-158.6669,148.4604,-44.4207
28,-162.8691,144.6982,-55.6014
29,-167.1571,140.8278,-68.4914
30,-171.5081,136.8586,-81.1807
31,-175.8432,132.7995,-92.6469
32,178.4476,128.6599,-102.6567
33,174.6047,124.4491,-111.3632
34,170.0705,120.1764,-119.0192
35,165.4512,115.8513,-125.8554
36,160.7987,111.4832,-132.0498
37,156.1345,107.0816,-137.7292
38,151.4746,102.656,-142.9799
39,146.8333,98.2159,-147.8568
40,142.2247,93.7706,-152.391
41,137.6732,89.2996,-156.4073
42,133.1996,84.7872,-159.8218
43,128.8122,80.2496,-162.7555
44,124.5193,75.7016,-165.2975
45,120.3289,71.157,-167.51
46,116.2488,66.629,-169.4279
47,112.2865,62.1299,-171.0514
48,108.4492,57.6718,-172.3338
49,104.7434,53.2665,-173.1738
50,101.1754,48.9256,173.4474
51,97.7505,44.6608,173.101
52,94.4735,40.4847,172.2126
53,91.3483,36.4103,170.9303
54,88.3779,32.4525,169.3869
55,85.5641,28.6291,167.6756
56,82.9079,24.9622,165.8581
57,80.409,21.4815,163.9769
58,78.0659,18.2296,162.0634
59,75.8761,15.2709,160.1426
60,73.8359,12.7064,158.235
61,71.9405,10.6878,156.3591
62,70.184,9.4107,154.5313
63,68.5604,9.0386,152.7643
64,67.0642,-9.5471,151.0671
65,65.6899,-10.7082,149.4461
