Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,0.0664,2.281,3.0368,5.5811
2,0.0664,2.281,3.0368,5.5811
3,0.0664,2.281,3.0368,5.5811
4,0.0664,2.281,3.0368,5.5811
5,0.0664,2.281,3.0368,5.5811
6,0.0664,2.281,3.0368,5.5811
7,0.0664,2.281,3.0368,5.5811
8,0.0664,2.281,3.0368,5.5811
9,0.0664,2.281,3.0368,5.5811
10,0.0664,2.281,3.0368,5.5811
11,0.0664,2.281,3.0368,5.5811
12,0.0664,2.281,3.0368,5.5811
13,0.0664,2.281,3.0368,5.5811
14,0.0664,2.281,3.0368,5.5811
15,0.0664,2.281,3.0368,5.5811
16,0.0664,2.281,3.0368,5.5811
17,0.0664,2.281,3.0368,5.5811
18,0.0664,2.281,3.0368,5.5811
19,0.0664,2.281,3.0368,5.5811
20,0.0664,2.281,3.0368,5.5811
21,0.0664,2.281,3.0368,5.5811
22,0.0664,2.281,3.0368,5.5811
23,0.0664,2.281,3.0368,5.5811
24,0.0664,2.281,3.0368,5.5811
25,0.0664,2.281,3.0368,5.5811
26,0.0664,2.281,3.0368,5.5811
27,0.0664,2.281,3.0368,5.5811
28,0.0664,2.281,3.0368,5.5811
29,0.0664,2.281,3.0368,5.5811
30,0.0664,2.281,3.0368,5.5811
31,0.0664,2.281,3.0368,5.5811
32,0.0664,2.281,3.0368,5.5811
33,0.0664,2.281,3.0368,5.5811
34,0.0664,2.281,3.0368,5.5811
35,0.0664,2.281,3.0368,5.5811
36,0.0664,2.281,3.0368,5.5811
37,0.0664,2.281,3.0368,5.5811
38,0.0664,2.281,3.0368,5.5811
39,0.0664,2.281,3.0368,5.5811
40,0.0664,2.281,3.0368,5.5811
41,0.0664,2.281,3.0368,5.5811
42,0.0664,2.281,3.0368,5.5811
43,0.0664,2.281,3.0368,5.5811
44,0.0664,2.281,3.0368,5.5811
45,0.0664,2.281,3.0368,5.5811
46,0.0664,2.281,3.0368,5.5811
47,0.0664,2.281,3.0368,5.5811
48,0.0664,2.281,3.0368,5.5811
49,0.0664,2.281,3.0368,5.5811
50,0.0664,2.281,3.0368,5.5811
51,0.0675,2.2798,3.0363,5.5802
52,0.0707,2.2763,3.0349,5.5775
53,0.076,2.2705,3.0325,5.573
54,0.0834,2.2626,3.0293,5.5668
55,0.0931,2.2525,3.0252,5.559
56,0.1049,2.2403,3.0203,5.5495
57,0.1189,2.2262,3.0145,5.5384
58,0.1349,2.21,3.008,5.5259
59,0.153,2.1921,3.0008,5.5118
60,0.173,2.1723,2.993,5.4964
