Frame,Pillar1,Pillar2,Pillar3,Pillar4
0,-9.0578,-55.3869,48.3287,-139.1855
1,-9.0578,-55.3869,48.3287,-139.1855
2,-9.0338,-55.3997,48.652,-139.2317
3,-8.962,-55.4364,49.6297,-139.3672
4,-8.8422,-55.4948,51.3103,-139.5873
5,-8.674,-55.5727,53.7806,-139.8874
6,-8.457,-55.6682,57.1448,-140.2626
7,-8.1902,-55.7796,61.4867,-140.708
8,-7.8725,-55.9054,66.8105,-141.2187
9,-7.5027,-56.044,72.9775,-141.7897
10,-7.0793,-56.194,79.6765,-142.4159
11,-6.6009,-56.3544,86.4755,-143.0923
12,-6.0658,-56.5236,92.9448,-143.8136
13,-5.4723,-56.7007,98.776,-144.5747
14,-4.8189,-56.8846,103.8247,-145.3704
15,-4.1047,-57.0742,108.0829,-146.1953
16,-3.3291,-57.2684,111.6227,-147.0443
17,-2.4949,-57.4663,114.5478,-147.9122
18,-1.6158,-57.6667,116.9646,-148.7938
19,-0.79,-57.8688,118.9697,-149.684
20,0.8312,-58.0713,120.6436,-150.5778
21,1.8114,-58.2731,122.052,-151.4702
22,2.9856,-58.4729,123.2476,-152.3566
23,4.2599,-58.6693,124.2723,-153.2323
24,5.6196,-58.8608,125.1595,-154.0928
25,7.06,-59.0453,125.9354,-154.9339
26,8.5788,-59.2208,126.6215,-155.7515
27,10.1737,-59.3848,127.2347,-156.5418
28,11.8421,-59.534,127.7889,-157.3011
29,13.5808,-59.6648,128.2953,-158.0262
30,15.3859,-59.7725,128.763,-158.7138
31,17.2524,-59.8513,129.1997,-159.361
32,19.1748,-59.8941,129.6115,-159.9651
33,21.1465,-59.8917,130.0035,-160.5236
34,23.1601,-59.833,130.3801,-161.0343
35,25.2078,-59.7034,130.7446,-161.4949
36,27.281,-59.4843,131.0999,-161.9037
37,29.3708,-59.1517,131.4482,-162.2589
38,31.4681,-58.6753,131.7915,-162.5587
39,33.5637,-58.0143,132.1311,-162.8018
40,35.6488,-57.1162,132.468,-162.9867
41,37.7147,-55.911,132.8027,-163.1121
42,39.7535,-54.3062,133.1357,-163.177
43,41.7577,-52.1796,133.4667,-163.1799
44,43.7207,-49.3706,133.7955,-163.12
45,45.6369,-45.6745,134.1213,-162.9961
46,47.5015,-40.8488,134.443,-162.8073
47,49.3106,-34.6543,134.7593,-162.5525
48,51.0612,-26.9775,135.0682,-162.2309
49,52.7513,-18.1234,135.3677,-161.8415
50,54.3797,-9.7697,135.6551,-161.3833
51,55.9621,8.9609,135.9485,-160.808
52,57.5204,15.9304,136.2682,-160.0713
53,59.064,23.0663,136.6136,-159.1784
