Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
1,0.3697,3.6956,6.4853,13.4483,15.6493
2,0.3659,3.6904,6.4836,13.4456,15.6456
3,0.355,3.6752,6.4784,13.4377,15.6349
4,0.3379,3.6504,6.47,13.4248,15.6174
5,0.3162,3.6166,6.4587,13.4073,15.5935
6,0.2921,3.5741,6.4446,13.3853,15.5635
7,0.2694,3.5236,6.428,13.3591,15.5279
8,0.2533,3.4655,6.4093,13.3291,15.4868
9,0.2504,3.4003,6.3887,13.2955,15.4408
10,0.2662,3.3285,6.3665,13.2587,15.3902
11,0.3021,3.2506,6.343,13.2188,15.3353
12,0.3558,3.167,6.3186,13.1762,15.2764
13,0.4233,3.0783,6.2936,13.1312,15.2141
14,0.5014,2.985,6.2682,13.0841,15.1485
15,0.5876,2.8875,6.2427,13.0351,15.0801
16,0.6802,2.7863,6.2175,12.9845,15.0091
17,0.7778,2.682,6.1926,12.9326,14.9361
18,0.8793,2.575,6.1684,12.8796,14.8611
19,0.984,2.4657,6.145,12.8257,14.7847
20,1.0912,2.3548,6.1226,12.7713,14.7072
21,1.2001,2.2426,6.1013,12.7165,14.6287
22,1.3101,2.1297,6.0812,12.6615,14.5497
23,1.4207,2.0164,6.0623,12.6064,14.4704
24,1.5314,1.9034,6.0448,12.5515,14.3911
25,1.6416,1.791,6.0285,12.4968,14.312
26,1.7509,1.6797,6.0133,12.4426,14.2334
27,1.8587,1.57,5.9993,12.3889,14.1556
28,1.9646,1.4624,5.9863,12.3359,14.0787
29,2.0681,1.3573,5.9741,12.2835,14.003
30,2.1687,1.2553,5.9625,12.232,13.9287
31,2.2659,1.1569,5.9514,12.1813,13.856
32,2.3593,1.0625,5.9404,12.1316,13.7851
33,2.4483,0.9729,5.9294,12.0829,13.7163
34,2.5326,0.8886,5.918,12.0352,13.6497
35,2.6117,0.8103,5.906,11.9885,13.5855
36,2.6852,0.7387,5.893,11.9429,13.5239
37,2.7525,0.6748,5.8788,11.8984,13.4651
38,2.8132,0.6193,5.8629,11.855,13.4092
39,2.8669,0.5734,5.845,11.8128,13.3566
40,2.9132,0.5379,5.825,11.7718,13.3073
41,2.9533,0.511,5.805,11.7336,13.2624
42,2.9891,0.4898,5.7876,11.6999,13.2227
43,3.0209,0.4733,5.7724,11.67,13.1875
44,3.0491,0.4609,5.759,11.6437,13.1564
45,3.074,0.4517,5.7474,11.6204,13.129
