Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
0,83.6352,51.8051,-20.92,-9.8034,3.9966
1,83.6352,51.8051,-20.92,-9.8034,3.9966
2,83.2105,51.5053,-21.2089,-10.0932,3.7081
3,81.972,50.6334,-22.0489,-10.9357,2.8718
4,79.9725,49.2307,-23.3999,-12.2902,1.5454
5,77.2628,47.3387,-25.2216,-14.1163,-0.5669
6,73.8926,44.9986,-27.474,-16.3734,-2.6495
7,69.9099,42.2518,-30.117,-19.0208,-5.2831
8,65.362,39.1397,-33.1102,-22.018,-8.2791
9,60.2949,35.7035,-36.4137,-25.3244,-11.5879
10,54.7546,31.9846,-39.9871,-28.8994,-15.1672
11,48.7882,28.0243,-43.7904,-32.7023,-18.9753
12,42.4462,23.8639,-47.7833,-36.6926,-22.9712
13,35.7881,19.5448,-51.9257,-40.8297,-27.1141
14,28.8955,15.1083,-56.1773,-45.0729,-31.3632
15,21.9125,10.5959,-60.4979,-49.3816,-35.6777
16,15.1958,6.0505,-64.8472,-53.7152,-40.0169
17,10.0024,1.5328,-69.1852,-58.0331,-44.34
18,-9.9269,-3.0156,-73.4714,-62.2947,-48.6063
19,-15.338,-7.4139,-77.6656,-66.4594,-52.7751
20,-22.7271,-11.6912,-81.7277,-70.4866,-56.8056
21,-30.7515,-15.8001,-85.6172,-74.3355,-60.6573
22,-39.0162,-19.6987,-89.2939,-77.9657,-64.2892
23,-47.344,-23.346,-92.7175,-81.3365,-67.6607
24,-55.6147,-26.7012,-95.8477,-84.4072,-70.7312
25,-63.7229,-29.7234,-98.6442,-87.1373,-73.4599
26,-71.5652,-32.372,-101.0667,-89.4862,-75.8061
27,-79.0372,-34.6064,-103.0748,-91.4132,-77.729
28,-86.0342,-36.3861,-104.6283,-92.8776,-79.1881
29,-92.4546,-37.6707,-105.6868,-93.8391,-80.1426
30,-98.2029,-38.4197,-106.2098,-94.2567,-80.5518
31,-103.7437,-38.8267,-106.4332,-94.3551,-80.6367
32,-109.6426,-39.1157,-106.6196,-94.3871,-80.647
33,-115.9187,-39.2921,-106.7695,-94.3544,-80.5848
34,-122.527,-39.3611,-106.8836,-94.2588,-80.4524
35,-129.3547,-39.3274,-106.9627,-94.1023,-80.2519
36,-136.2302,-39.1955,-107.0078,-93.8867,-79.9857
37,-142.95,-38.9696,-107.0197,-93.6139,-79.6558
38,-149.3163,-38.6537,-106.9996,-93.2858,-79.2645
39,-155.1702,-38.2514,-106.9483,-92.9044,-78.814
40,-160.4095,-37.7666,-106.867,-92.4714,-78.3066
41,-164.9882,-37.2024,-106.7565,-91.9889,-77.7445
42,-168.9016,-36.5623,-106.6179,-91.4587,-77.1298
43,-172.165,-35.8493,-106.452,-90.8827,-76.4647
44,-174.7804,-35.0662,-106.2596,-90.2627,-75.7513
45,-176.6695,-34.216,-106.0413,-89.6006,-74.992
46,-177.5601,-33.3011,-105.7979,-88.8982,-74.1886
47,177.3614,-32.324,-105.5297,-88.1571,-73.3434
48,176.7059,-31.287,-105.2371,-87.3793,-72.4585
49,176.0613,-30.192,-104.9204,-86.5663,-71.5358
50,175.5649,-29.0409,-104.5796,-85.7198,-70.5774
51,175.2437,-27.8353,-104.2148,-84.8415,-69.5853
52,175.0938,-26.5763,-103.8258,-83.933,-68.5614
53,175.1023,-25.2648,-103.4123,-82.9957,-67.5077
54,175.2541,-23.9014,-102.9739,-82.0312,-66.426
55,175.534,-22.486,-102.5102,-81.0408,-65.3182
56,175.9273,-21.0181,-102.0205,-80.0261,-64.1861
57,176.4193,-19.4965,-101.5041,-78.9884,-63.0315
58,176.9945,-17.9191,-100.9602,-77.9289,-61.8562
59,177.6322,-16.283,-100.3881,-76.8489,-60.6618
60,178.2938,-14.5843,-99.7869,-75.7497,-59.4499
61,178.8607,-12.818,-99.1556,-74.6325,-58.2223
